index,sender_name,dateTime,timeElapsed,answerTime_s,answerTime_m
1089,Jonathan,2020-10-02T15:26:42Z,49855086.28799987,2943.3739998340607,49.05623333056768
1090,Klara,2020-10-02T14:37:39Z,49852142.914000034,1218.529000043869,20.308816667397817
1091,Jonathan,2020-10-02T14:17:20Z,49850924.38499999,NA,NA
1092,Jonathan,2020-10-02T14:17:01Z,49850905.10599995,10260.378999948502,171.00631666580836
1093,Klara,2020-10-02T11:26:01Z,49840644.727,896.9750001430511,14.949583335717518
1094,Jonathan,2020-10-02T11:11:04Z,49839747.751999855,1486.8949999809265,24.78158333301544
1095,Klara,2020-10-02T10:46:17Z,49838260.856999874,1330.1159999370575,22.16859999895096
1096,Jonathan,2020-10-02T10:24:07Z,49836930.74099994,NA,NA
1097,Jonathan,2020-10-02T10:22:56Z,49836860.46399999,63151.894000053406,1052.5315666675567
1098,Klara,2020-10-01T16:50:24Z,49773708.56999993,332.9279999732971,5.548799999554952
1099,Jonathan,2020-10-01T16:44:52Z,49773375.64199996,242.760999917984,4.046016665299733
1100,Klara,2020-10-01T16:40:49Z,49773132.88100004,NA,NA
1101,Klara,2020-10-01T16:38:04Z,49772968.34899998,139.55200004577637,2.3258666674296062
1102,Jonathan,2020-10-01T16:35:45Z,49772828.79699993,58.59299993515015,0.9765499989191692
1103,Klara,2020-10-01T16:34:46Z,49772770.203999996,79.2020001411438,1.32003333568573
1104,Jonathan,2020-10-01T16:33:27Z,49772691.001999855,NA,NA
1105,Jonathan,2020-10-01T16:33:25Z,49772689.47399998,4653.495000123978,77.55825000206629
1106,Klara,2020-10-01T15:15:52Z,49768035.97899985,NA,NA
1107,Klara,2020-10-01T15:15:02Z,49767986.20599985,NA,NA
1108,Klara,2020-10-01T04:39:01Z,49729824.977,12172.986000061035,202.88310000101725
1109,Jonathan,2020-10-01T01:16:08Z,49717651.99099994,NA,NA
1110,Jonathan,2020-09-30T21:17:02Z,49703306.48600006,1894.7800002098083,31.579666670163473
1111,Klara,2020-09-30T20:45:28Z,49701411.70599985,746.8389999866486,12.447316666444143
1112,Jonathan,2020-09-30T20:33:01Z,49700664.866999865,124.56799983978271,2.0761333306630454
1113,Klara,2020-09-30T20:30:56Z,49700540.299000025,354.345999956131,5.905766665935516
1114,Jonathan,2020-09-30T20:25:02Z,49700185.95300007,NA,NA
1115,Jonathan,2020-09-30T18:54:05Z,49694729.35100007,64.35000014305115,1.0725000023841857
1116,Klara,2020-09-30T18:53:01Z,49694665.00099993,43.5699999332428,0.7261666655540466
1117,Jonathan,2020-09-30T18:52:17Z,49694621.430999994,NA,NA
1118,Jonathan,2020-09-30T18:51:45Z,49694589.477,NA,NA
1119,Jonathan,2020-09-30T18:44:24Z,49694148.37299991,179.08699989318848,2.984783331553141
1120,Klara,2020-09-30T18:41:25Z,49693969.28600001,237.38499999046326,3.956416666507721
1121,Jonathan,2020-09-30T18:37:28Z,49693731.90100002,267.3910000324249,4.456516667207082
1122,Klara,2020-09-30T18:33:00Z,49693464.50999999,NA,NA
1123,Klara,2020-09-30T18:27:32Z,49693135.734999895,368.57099986076355,6.142849997679392
1124,Jonathan,2020-09-30T18:21:23Z,49692767.164000034,182.72099995613098,3.0453499992688497
1125,Klara,2020-09-30T18:18:20Z,49692584.44300008,335.08000016212463,5.584666669368744
1126,Jonathan,2020-09-30T18:12:45Z,49692249.362999916,111.3840000629425,1.8564000010490418
1127,Klara,2020-09-30T18:10:54Z,49692137.97899985,NA,NA
1128,Klara,2020-09-30T18:09:22Z,49692046.31399989,217.57499980926514,3.6262499968210857
1129,Jonathan,2020-09-30T18:05:45Z,49691828.73900008,39.373000144958496,0.6562166690826416
1130,Klara,2020-09-30T18:05:05Z,49691789.36599994,155.5590000152588,2.5926500002543134
1131,Jonathan,2020-09-30T18:02:30Z,49691633.80699992,33.984999895095825,0.5664166649182637
1132,Klara,2020-09-30T18:01:56Z,49691599.82200003,218.24200010299683,3.6373666683832804
1133,Jonathan,2020-09-30T17:58:17Z,49691381.57999992,21.384000062942505,0.35640000104904174
1134,Klara,2020-09-30T17:57:56Z,49691360.19599986,NA,NA
1135,Klara,2020-09-30T17:57:24Z,49691328.148,189.70000004768372,3.1616666674613954
1136,Jonathan,2020-09-30T17:54:14Z,49691138.447999954,44.170000076293945,0.7361666679382324
1137,Klara,2020-09-30T17:53:30Z,49691094.27799988,411.44199991226196,6.857366665204366
